,dt,open,close,high,low,vol,ts,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score
7952,2024-02-01 01:03:00,53.475,53.526,53.531,53.455,119316,1706720580,53.556,0.02999999999999403,0.0005604752830399063,False,69.20136870490938,65.69516829844288,76.2137695178424,96.45344527949203,0.003544516307632385,0.005043229974791436,0.059214285714286774,-9943646,-10104182.18623472,-10133333.491445953,0.5206971
7953,2024-02-01 01:04:00,53.543,53.545,53.545,53.498,141256,1706720640,53.562,0.016999999999995907,0.00031748996171436934,False,71.25461079124877,66.06579779796327,81.63223677781977,104.19705614724934,0.004392948301623862,0.006089812289606815,0.060071428571429664,-9802390,-10003584.790823147,-10120355.315310817,0.52532876
7955,2024-02-01 01:06:00,53.595,53.63,53.63,53.595,101852,1706720760,53.525,-0.10500000000000398,-0.001957859407048368,False,74.95957206704338,67.10081569072045,90.67708481968924,116.0421444515581,0.006533854575087469,0.008767940223873028,0.060071428571429664,-9524606,-9760119.240365844,-10078383.624783266,0.567922
7956,2024-02-01 01:07:00,53.633,53.575,53.633,53.575,112480,1706720820,53.435,-0.14000000000000057,-0.002613159122725162,False,75.6926950268999,67.67360764646575,91.73086978776817,110.1581069208815,0.0071878721730182435,0.008495907368879788,0.0575714285714294,-9637086,-9719108.160243897,-10061077.83557608,0.5925076
7957,2024-02-01 01:08:00,53.556,53.635,53.635,53.556,80476,1706720880,53.39,-0.24499999999999744,-0.0045679127435442795,False,77.31318202510657,68.31624593837515,95.3070541985694,113.60372493219847,0.007842292045511921,0.009151131790499277,0.057500000000000995,-9556610,-9664942.106829265,-10041294.783200549,0.5925076
7958,2024-02-01 01:09:00,53.675,53.655,53.675,53.64,137820,1706720940,53.345,-0.3100000000000023,-0.005777653527164333,False,78.5325962637259,68.9973359600652,97.60311687104732,112.4701986679951,0.008465262930403209,0.009711204700185782,0.05392857142857212,-9418790,-9582891.404552843,-10016882.830918174,0.5925076
7961,2024-02-01 01:12:00,53.627,53.618,53.64,53.61,80636,1706721120,53.425,-0.19300000000000495,-0.003599537468760583,False,80.53951850119486,71.09512780802581,99.42829988753297,88.62156713998787,0.009015554251143835,0.008681120710297079,0.05014285714285752,-9563678,-9515770.564311955,-9953871.246403662,0.5925076
7962,2024-02-01 01:13:00,53.6,53.595,53.6,53.555,144368,1706721180,53.507,-0.08800000000000097,-0.0016419442112137507,False,80.4893662039521,71.72141036775422,98.02527787634787,71.39668690887865,0.00855040242541474,0.007620098773956551,0.0518571428571433,-9708046,-9579862.37620797,-9944231.040662343,0.5925076
7963,2024-02-01 01:14:00,53.59,53.58,53.59,53.57,113356,1706721240,53.55,-0.030000000000001137,-0.0005599104143337279,False,80.22979143574537,72.28863577228697,96.11210276266218,52.506059535478784,0.007878876528488836,0.006535824734637024,0.04971428571428608,-9821402,-9660375.584138647,-9939414.21553833,0.5925076
7964,2024-02-01 01:15:00,53.589,53.55,53.589,53.55,153664,1706721300,53.555,0.005000000000002558,9.337068160602349e-05,False,79.56198973719212,72.77352603661397,93.13891713834843,30.23942893476118,0.006988592481009926,0.005208024386052107,0.05178571428571489,-9975066,-9765272.389425766,-9940812.324732905,0.6033957
7966,2024-02-01 01:17:00,53.53,53.585,53.585,53.53,70116,1706721420,53.495,-0.09000000000000341,-0.0016795745077914231,False,79.11820798666804,73.59776785914796,90.15908824170819,25.76633067167677,0.005572768098819441,0.004342382315684212,0.04742857142857204,-9671654,-9728843.506411452,-9922757.616179818,0.5743014
7967,2024-02-01 01:18:00,53.558,53.54,53.575,53.54,148276,1706721480,53.48,-0.060000000000002274,-0.0011206574523721007,False,78.38266787975545,73.91676119385514,87.31448125155606,16.799678034429405,0.004829053022405095,0.003341622869576402,0.04728571428571472,-9819930,-9759205.67094097,-9918725.160643354,0.5743014
7968,2024-02-01 01:19:00,53.529,53.525,53.535,53.515,83192,1706721540,53.425,-0.10000000000000142,-0.00186828584773473,False,77.48339782252353,74.1545369690997,84.1411195293712,7.00379890894061,0.004013592215421315,0.0023826706014537548,0.04550000000000054,-9903122,-9807177.780627314,-9918113.271990674,0.5743014
7969,2024-02-01 01:20:00,53.545,53.519,53.555,53.519,98220,1706721600,53.47,-0.04899999999999949,-0.0009155626973598066,False,76.55897271946168,74.31483268579049,81.04725278680405,-4.273370441903211,0.0032157466401675173,0.0016200554896599216,0.04557142857142894,-10001342,-9871899.187084876,-9921377.143677315,0.5743014
7970,2024-02-01 01:21:00,53.5,53.515,53.525,53.481,100208,1706721660,53.575,0.060000000000002274,0.0011211809772961278,False,75.63943836795151,74.4031397312679,78.11203564131873,-5.830872208043957,0.00248755253223182,0.001031164316360424,0.04457142857142874,-10101550,-9948449.458056584,-9928442.745886048,0.5743014
7971,2024-02-01 01:22:00,53.535,53.534,53.55,53.505,121436,1706721720,53.619,0.08500000000000085,0.0015877759928270045,False,75.05070985264128,74.4463110726928,76.25950741253826,1.4895147228461099,0.001974609124605998,0.0009487223093543527,0.04214285714285688,-9980114,-9959004.305371057,-9930469.069576792,0.53638566
7972,2024-02-01 01:23:00,53.55,53.503,53.55,53.503,68400,1706721780,53.605,0.10199999999999676,0.0019064351531689206,False,74.06151359296167,74.42065790737738,73.34322496413029,1.1328129751284735,0.0014349054268282429,0.0003554980312727328,0.042642857142856726,-10048514,-9988840.870247371,-9935098.282534566,0.53638566
7973,2024-02-01 01:24:00,53.499,53.495,53.515,53.465,82336,1706721840,53.552,0.05700000000000216,0.0010655201420693926,False,73.02478857328904,74.32759995177149,70.41916581632415,1.4598221114363241,0.0009016074449098529,-0.00016498851892692725,0.04207142857142797,-10130850,-10036177.246831581,-9942774.820474388,0.53638566
7975,2024-02-01 01:26:00,53.501,53.57,53.57,53.501,131488,1706721960,53.585,0.015000000000000568,0.0002800074668657937,False,72.35029336521414,74.0633346950989,68.92421070544461,26.72153277596287,0.0005469523886044061,0.0006573562600298541,0.04342857142857121,-9936402,-10009966.109702926,-9947238.972687047,0.53638566
7984,2024-02-01 01:35:00,53.549,53.5,53.549,53.49,76236,1706722500,53.76,0.259999999999998,0.004859813084112112,True,72.82844608890659,73.84775379781966,70.78983067108044,26.751472494084425,0.0012773053964584336,0.00023145132298369678,0.046071428571428284,-10004242,-10005707.483928666,-9963146.601035336,0.5743014
7985,2024-02-01 01:36:00,53.477,53.525,53.535,53.477,57720,1706722560,53.835,0.3100000000000023,0.005791686127977623,True,72.29945748439793,73.74453404359156,69.4093043660107,23.251926161082153,0.0008162914991764422,-0.00010573629538754102,0.04700000000000009,-9946522,-9985978.989285778,-9962494.655896695,0.5743014
