,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,close_nxt30min,close_diff_nxt30min,close_diffrate_nxt30min,label1,k,d,j,duanxian,pianliEMA,pianli,atr,obv,m5,m10,predict_score,ts_diff
5911,2024/4/9 3:42,60.07,59.911,60.09,59.911,172856,1712605320,,,,,,,,,,,71.01909351,76.3755132,34.9461754,,,,FALSE,62.80267669,58.69446831,71.01909344,-12.97052964,0.002214274,-0.000686728,0.055785714,-4078734,-3869098.174,-3752332.522,0.53188163,2040
5929,2024/4/9 21:51,60.285,60.31,60.38,60.285,359791,1712670660,,,,,,,,,,,93.33988514,81.4284141,44.88276152,60.4,0.09,0.00149229,TRUE,,,,-4.367876214,-0.006799759,-0.01221929,0.114285714,-5331962,-4766529.686,-3579911.297,0.51316637,65340
5957,2024/4/9 22:21,60.38,60.4,60.42,60.373,72341,1712672460,,,,,,,,,,,34.89196516,76.10857737,45.99901694,58.82,-1.58,-0.02615894,FALSE,57.04977696,67.57331605,36.00269877,33.31710743,-0.000910968,-0.001418176,0.071285714,-5570309,-5407209.017,-4801182.14,0.5360209,1800
5976,2024/4/9 22:51,58.79,58.82,58.83,58.74,167048,1712674260,,,,,,,,,,,-15.18680968,28.79940154,44.82181195,59.34,0.52,0.00884053,TRUE,13.61760782,28.89319573,-16.93356802,-5.96570329,-0.031773314,-0.029662839,0.145642857,-9454876,-9444774.678,-7102950.656,0.52143973,1800
5995,2024/4/10 2:03,59.338,59.375,59.39,59.338,106972,1712685780,,,,,,,,,,,-2.712322324,53.77663515,35.17975758,59.495,0.12,0.002021053,TRUE,24.95047478,38.78188553,-2.71234674,-20.10523297,-0.006158525,-0.008104263,0.065,-7504786,-7339078.872,-7019313.922,0.513253,11520
5999,2024/4/10 3:08,59.28,59.24,59.28,59.23,121312,1712689680,,,,,,,,,,,5.39899799,53.58411162,33.46171745,60.13,0.89,0.015023633,TRUE,25.17999055,35.07048701,5.398997633,13.67753383,-0.006367301,-0.007153206,0.064928571,-7467346,-7353591.672,-7376245.304,0.513253,3900
6008,2024/4/12 0:30,59.96,59.91,59.96,59.91,54808,1712853000,,,,,,,,,,,78.15564118,108.424477,43.69540198,60.03,0.12,0.002003005,TRUE,78.53126218,78.70835653,78.17707347,9.631515062,0.00279136,0.000497769,0.059928571,-3657448,-3479728.114,-3935341.527,0.5360209,163320
6020,2024/4/12 22:15,59.745,59.805,59.805,59.745,137730,1712931300,,,,,,,,,,,-6.959301027,4.810171352,97.65861525,59.21,-0.595,-0.009949001,FALSE,7.63546798,7.63546798,7.63546798,18.39102939,-0.009818775,-0.009006612,0.111571429,-7768256,-7653641.394,-6273312.014,0.5170575,78300
6046,2024/4/12 22:45,59.18,59.21,59.21,59.18,202188,1712933100,,,,,,,,,,,3.710330529,-21.67435304,93.04804917,59.125,-0.085,-0.001435568,FALSE,14.490158,17.72332809,8.02381782,-9.443987111,-0.01871403,-0.018588658,0.094714286,-9118966,-9031998.375,-7577008.266,0.50919366,1800
6073,2024/4/12 23:15,59.13,59.125,59.15,59.08,118636,1712934900,,,,,,,,,,,22.71306288,-30.69660657,85.57667563,59.596,0.471,0.007966173,TRUE,17.53531008,14.51826138,23.56940748,61.92386788,-0.003746022,-0.002488101,0.071428571,-9300106,-9444632.173,-8986167.314,0.513253,1800
6076,2024/4/13 0:40,58.59,58.65,58.65,58.545,356888,1712940000,,,,,,,,,,,-15.10437946,-14.2433644,71.86035674,58.43,-0.22,-0.003751066,FALSE,13.38134013,27.62173002,-15.09943965,-28.91999831,-0.015916206,-0.017510273,0.089071429,-12209146,-12113166.51,-10736821.79,0.5025448,5100
6077,2024/4/15 22:15,59.205,59.189,59.205,59.15,415188,1713190500,,,,,,,,,,,41.19754706,79.40655328,21.61767324,59,-0.189,-0.003193161,FALSE,22.48641304,22.48641304,22.48641304,-1.34421866,-0.023562453,-0.024831273,0.145714286,-8023210,-7836858.397,-7304728.849,0.5292563,250500
6090,2024/4/15 22:45,58.98,59,59,58.962,268672,1713192300,,,,,,,,,,,-4.045594053,67.07037675,21.20761563,58.715,-0.285,-0.004830508,FALSE,20.4561463,23.92519647,13.51804598,24.20011524,-0.010070478,-0.009577242,0.119285714,-7146914,-7173800.13,-7244344.594,0.50919366,1800
6120,2024/4/15 23:15,58.769,58.715,58.769,58.715,88976,1713194100,,,,,,,,,,,16.03130441,45.50044519,18.60551997,58.791,0.076,0.001294388,TRUE,18.70794653,17.68048089,20.7628778,18.43041096,-0.004680188,-0.004257017,0.096214286,-7667554,-7521621.588,-7265409.257,0.513253,1800
6135,2024/4/16 0:36,58.085,58.13,58.13,58.07,135008,1713198960,,,,,,,,,,,-19.25602853,21.36575869,13.49336658,58.139,0.009,0.000154825,TRUE,25.29300526,47.54597147,-19.21292717,-0.477118623,-0.023292406,-0.02180403,0.094785714,-9203918,-9221883.074,-7878362.341,0.5170575,4860
6162,2024/4/16 1:20,57.615,57.525,57.615,57.525,560712,1713201600,,,,,,,,,,,24.16898255,-1.725672306,8.49070258,55.96,-1.565,-0.027205563,FALSE,23.13357063,22.6144979,24.17171609,-42.98288414,-0.008351305,-0.013563915,0.084,-10933662,-10256125.63,-9538987.315,0.51105124,2640
6165,2024/4/16 1:52,55.935,55.845,55.935,55.795,431488,1713203520,,,,,,,,,,,2.804091011,-9.017213908,3.170561631,55.9,0.055,0.000984869,TRUE,9.182212964,12.37109717,2.804444555,-1.204672887,-0.026659816,-0.027293089,0.136571429,-14783946,-14323243.65,-12684125.25,0.5142335,1920
6185,2024/4/16 2:22,56,55.9,56,55.9,278568,1713205320,,,,,,,,,,,23.20389251,-7.060866879,-0.14889357,55.803,-0.097,-0.001735242,FALSE,16.59089424,13.28436965,23.2039434,50.51806706,-0.007930539,-0.006169534,0.099714286,-20621894,-20562653.86,-17825338.22,0.52076685,1800
