,dt,open,close,high,low,vol,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw5,jw30
78,2024-04-03 22:49:00,901.55,901.17,901.55,900.87,69183.0,,,,,,,,,,,,
79,2024-04-03 22:50:00,901.05,900.58,901.05,900.5,80494.0,,,,,,,,,,,,
80,2024-04-03 22:51:00,901.34,900.85,901.34,900.85,71296.0,,,,,,,,,,,,
81,2024-04-03 22:52:00,900.26,900.69,900.69,900.2,100651.0,,,,,,,,,,,,
82,2024-04-03 22:53:00,900.85,900.45,900.85,900.45,53934.0,,,,,,,,,,,,
83,2024-04-03 22:54:00,900.36,899.78,900.36,899.78,96188.0,,,,,,,,,,,,
84,2024-04-03 22:55:00,899.83,899.95,900.18,899.8,135683.0,,,,,,,,,,,,
85,2024-04-03 22:56:00,899.84,900.1,900.2,899.84,87375.0,,,,,,,,,,,,
86,2024-04-03 22:57:00,900.2,900.69,900.69,899.7,82272.0,,,,,,,,,,,,
87,2024-04-03 22:58:00,900.96,900.23,901.3,900.23,107416.0,,,,,,,,,,,,
88,2024-04-03 22:59:00,900.46,901.12,901.12,900.46,81235.0,,,,,,,,,,,,
89,2024-04-03 23:00:00,901.09,900.96,901.15,900.62,69121.0,,,,,,,,,,,,
90,2024-04-03 23:01:00,901.49,900.72,901.49,900.56,76179.0,,,,,,,,,,,,
91,2024-04-03 23:02:00,900.48,900.04,900.48,900.04,53094.0,,,,,,,,,,,,
92,2024-04-03 23:03:00,900.35,900.0,900.35,899.71,69356.0,,,,,,,,,,,,
93,2024-04-03 23:04:00,899.97,900.0,900.08,899.74,60944.0,,,,,,,,,,,,
94,2024-04-03 23:05:00,900.18,899.8,900.63,899.72,82737.0,,,,,,,,,,,,
95,2024-04-03 23:06:00,900.14,900.05,900.32,900.05,47911.0,,,,,,,,,,,,
96,2024-04-03 23:07:00,900.13,900.28,900.28,899.96,32883.0,,,,,,,,,,,,
97,2024-04-03 23:08:00,900.27,900.13,900.3,900.05,43643.0,,,,,,,,,,,,
98,2024-04-03 23:09:00,900.05,900.54,900.95,900.05,65945.0,,,,,,,,,,,,
99,2024-04-03 23:10:00,900.18,900.26,900.72,900.18,37181.0,,,,,,,,,,,,
100,2024-04-03 23:11:00,900.6,900.97,900.97,900.24,63885.0,,,,,,,,,,,,
101,2024-04-03 23:12:00,901.18,902.34,902.34,901.18,196982.0,,,,,,,,,,,,
102,2024-04-03 23:13:00,902.1,902.19,902.47,901.89,93558.0,,,,,,,,,,,,
103,2024-04-03 23:14:00,902.12,902.29,902.6,902.12,69760.0,,,,,,,,,,,,
104,2024-04-03 23:15:00,902.65,903.02,903.13,902.65,118234.0,,,,,,,,,,,,
105,2024-04-03 23:16:00,903.3,902.88,903.43,902.88,102239.0,,,,,,,,,,,,
106,2024-04-03 23:17:00,902.72,902.55,902.78,902.37,70633.0,,,,,,,,,,,,
107,2024-04-03 23:18:00,902.38,902.25,902.68,902.25,45964.0,,,,,,,,,,,,
108,2024-04-03 23:19:00,902.37,902.18,902.37,901.95,69250.0,,,,,,,,,,,,
109,2024-04-03 23:20:00,902.73,902.06,902.73,902.06,64044.0,,,,,,,,,,,,
110,2024-04-03 23:21:00,902.03,902.11,902.41,902.03,47863.0,,,,,,,,,,,,
111,2024-04-03 23:22:00,901.88,902.39,902.42,901.88,70405.0,,,,,,,,,,,,
112,2024-04-03 23:23:00,902.2,901.55,902.2,901.55,68543.0,,,,,,,,,,,,
113,2024-04-03 23:24:00,901.88,902.2,902.2,901.8,60994.0,,,,,,,,,,,,
114,2024-04-03 23:25:00,902.13,901.89,902.19,901.78,39620.0,,,,,,,,,,,,
115,2024-04-03 23:26:00,902.06,901.68,902.06,901.65,34081.0,,,,,,,,,,,,
116,2024-04-03 23:27:00,901.87,902.46,902.47,901.87,62917.0,,,,,,,,,,,,
117,2024-04-03 23:28:00,902.41,902.48,902.72,902.38,65974.0,,,,,,,,,,,,
